,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
75,2004-03-31,2004-04-15,0.46,0.41,0.05,12.1951
76,2003-12-31,2004-02-19,0.15,0.16,-0.01,-6.25
77,2003-09-30,2003-10-16,0.2,0.13,0.07,53.8462
78,2003-06-30,2003-07-17,0.1,0.1,0,0
79,2003-03-31,2003-04-17,0.09,0.08,0.01,12.5
80,2002-12-31,2003-02-20,0.03,0.06,-0.03,-50
81,2002-09-30,2002-10-17,0.16,0.19,-0.03,-15.7895
82,2002-06-30,2002-07-18,0.17,0.17,0,0
83,2002-03-31,2002-04-18,0.12,0.1,0.02,20
84,2001-12-31,2002-02-21,0.07,0.05,0.02,40
85,2001-09-30,2001-10-18,0.13,0.11,0.02,18.1818
86,2001-06-30,2001-07-19,0.23,0.24,-0.01,-4.1667
87,2001-03-31,2001-04-19,0.25,0.27,-0.02,-7.4074
88,2000-12-31,2001-02-15,0.27,0.26,0.01,3.8462
89,2000-09-30,2000-10-19,0.28,0.28,0,0
90,2000-06-30,2000-07-20,0.3,0.29,0.01,3.4483
91,2000-03-31,2000-04-20,0.29,0.27,0.02,7.4074
92,1999-12-31,2000-02-17,0.27,0.25,0.02,8
93,1999-09-30,1999-10-21,0.27,0.23,0.04,17.3913
94,1999-06-30,1999-07-22,0.24,0.23,0.01,4.3478
95,1999-03-31,1999-04-22,0.23,0.21,0.02,9.5238
96,1998-12-31,1999-02-18,0.21,0.2,0.01,5
97,1998-09-30,1998-10-22,0.21,0.2,0.01,5
98,1998-06-30,1998-07-23,0.22,0.21,0.01,4.7619
99,1998-03-31,1998-04-23,0.21,0.19,0.02,10.5263
100,1997-12-31,1998-02-19,0.2,0.18,0.02,11.1111
101,1997-09-30,1997-10-22,0.18,0.17,0.01,5.8824
102,1997-06-30,1997-07-24,0.17,0.16,0.01,6.25
103,1997-03-31,1997-04-24,0.15,0.15,0,0
104,1996-12-31,1997-02-20,0.15,0.14,0.01,7.1429
105,1996-09-30,1996-10-24,0.15,0.15,0,0
106,1996-06-30,1996-07-25,0.16,0.15,0.01,6.6667
107,1996-03-31,1996-04-25,0.15,0.13,0.02,15.3846
